,batting_position,Batter,Dismissal,Runs,Balls,Minutes,4s,6s,SR,Country
0,1,Michael van Lingen,c Pramod Madushan b Chameera,3,6,7,0,0,50.00,Namibia
1,2,Divan la Cock,c Shanaka b Pramod Madushan,9,9,15,1,0,100.00,Namibia
2,3,Jan Nicol Loftie-Eaton,c (WK)Mendis b Karunaratne,20,12,18,1,2,166.66,Namibia
3,4,Stephan Baard,c DM de Silva b Pramod Madushan,26,24,49,2,0,108.33,Namibia
4,5,Gerhard Erasmus(c),c Gunathilaka b PWH de Silva,20,24,30,0,0,83.33,Namibia
5,6,Jan Frylinck,run out (Gunathilaka/(WK)Mendis),44,28,44,4,0,157.14,Namibia
6,7,David Wiese,c (WK)Mendis b Theekshana,0,1,4,0,0,0.00,Namibia
7,8,JJ Smit,not out ,31,16,29,2,2,193.75,Namibia
8,1,Pathum Nissanka,c Smit b Shikongo,9,10,16,1,0,90.00,Sri Lanka
9,2,Kusal Mendis(WK),c (WK)Green b Wiese,6,6,8,0,0,100.00,Sri Lanka
10,3,Dhananjaya de Silva,c Shikongo b Frylinck,12,11,25,1,0,109.09,Sri Lanka
11,4,Danushka Gunathilaka,c (WK)Green b Shikongo,0,1,2,0,0,0.00,Sri Lanka
12,5,Bhanuka Rajapaksa,c la Cock b Scholtz,20,21,39,2,0,95.23,Sri Lanka
13,6,Dasun Shanaka(c),c (WK)Green b Frylinck,29,23,37,2,1,126.08,Sri Lanka
14,7,Wanindu Hasaranga de Silva,c Loftie-Eaton b Scholtz,4,8,9,0,0,50.00,Sri Lanka
15,8,Chamika Karunaratne,c Baard b Smit,5,8,15,0,0,62.50,Sri Lanka
16,9,Pramod Madushan,run out (van Lingen/(WK)Green),0,0,4,0,0,-,Sri Lanka
17,10,Dushmantha Chameera,c Erasmus b Wiese,8,15,20,0,0,53.33,Sri Lanka
18,11,Maheesh Theekshana,not out ,11,11,14,0,1,100.00,Sri Lanka
19,1,Chirag Suri,c (WK)Edwards b van der Merwe,12,20,28,1,0,60.00,United Arab Emirates
