,S.NO.,Bowler,Overs,Maidens,Runs,Wickets,ECON,0s,4s,6s,WD,NB,Country
0,1,Maheesh Theekshana,4,0,23,1,5.75,7,0,0,2,0,Sri Lanka
1,2,Dushmantha Chameera,4,0,39,1,9.75,6,3,1,2,0,Sri Lanka
2,3,Pramod Madushan,4,0,37,2,9.25,6,3,1,0,0,Sri Lanka
3,4,Chamika Karunaratne,4,0,36,1,9.00,7,3,1,1,0,Sri Lanka
4,5,Wanindu Hasaranga de Silva,4,0,27,1,6.75,8,1,1,0,0,Sri Lanka
5,1,Gerhard Erasmus,1,0,8,0,8.00,1,1,0,0,0,Namibia
6,2,David Wiese,4,0,16,2,4.00,13,1,0,0,0,Namibia
7,3,Bernard Scholtz,4,0,18,2,4.50,10,1,0,0,0,Namibia
8,4,Ben Shikongo,3,1,22,2,7.33,6,3,0,0,0,Namibia
9,5,JJ Smit,3,0,16,1,5.33,7,0,0,1,0,Namibia
10,6,Jan Frylinck,4,0,26,2,6.50,10,0,2,1,0,Namibia
11,1,Fred Klaassen,4,0,13,2,3.25,18,0,0,3,0,Netherlands
12,2,Tim Pringle,4,0,13,1,3.25,11,0,0,0,0,Netherlands
13,3,Logan van Beek,2,0,19,0,9.50,5,0,2,1,0,Netherlands
14,4,Bas de Leede,3,0,19,3,6.33,9,2,0,2,0,Netherlands
15,5,Paul van Meekeren,4,0,21,0,5.25,11,1,0,0,0,Netherlands
16,6,Roelof van der Merwe,3,0,19,1,6.33,7,0,1,0,0,Netherlands
17,1,Junaid Siddique,4,0,24,3,6.00,10,2,0,1,0,United Arab Emirates
18,2,Basil Hameed,1,0,7,1,7.00,4,0,1,0,0,United Arab Emirates
19,3,Aayan Afzal Khan,3,0,15,1,5.00,8,1,0,0,0,United Arab Emirates
20,4,Karthik Meiyappan,4,0,22,1,5.50,11,2,0,0,0,United Arab Emirates
21,5,Zahoor Khan,4,0,11,1,2.75,14,0,0,0,0,United Arab Emirates
22,6,Zawar Farid,2.5,0,24,0,8.47,2,2,0,0,0,United Arab Emirates
23,7,Kashif Daud,1,0,5,0,5.00,1,0,0,0,0,United Arab Emirates
24,1,Kyle Mayers,2,0,24,0,12.00,5,5,0,2,0,West Indies
25,2,Akeal Hosein,4,0,31,0,7.75,8,2,1,0,0,West Indies
26,3,Alzarri Joseph,4,0,28,2,7.00,9,3,0,2,0,West Indies
27,4,Obed McCoy,3,0,25,0,8.33,6,4,0,0,0,West Indies
28,5,Jason Holder,3,0,14,2,4.66,8,1,0,0,0,West Indies
29,6,Odean Smith,4,0,31,1,7.75,6,3,0,1,0,West Indies
30,1,Mark Watt,4,0,12,3,3.00,16,1,0,1,0,Scotland
31,2,Brad Wheal,4,0,32,2,8.00,10,4,1,0,0,Scotland
32,3,Josh Davey,3,0,34,1,11.33,8,4,2,1,0,Scotland
33,4,Safyaan Sharif,3.3,0,23,1,6.57,7,2,0,2,0,Scotland
34,5,Michael Leask,4,0,15,2,3.75,11,0,0,1,0,Scotland
35,1,Josh Little,4,0,24,3,6.00,11,3,0,0,0,Ireland
36,2,Mark Adair,4,0,39,2,9.75,6,3,1,2,0,Ireland
37,3,Barry McCarthy,4,0,24,0,6.00,11,2,0,2,0,Ireland
38,4,Curtis Campher,3,0,29,0,9.66,6,2,2,0,0,Ireland
39,5,Simi Singh,3,0,31,2,10.33,5,2,2,1,0,Ireland
40,6,Gareth Delany,2,0,21,0,10.50,4,2,1,1,0,Ireland
41,1,Richard Ngarava,4,0,22,2,5.50,13,3,0,0,0,Zimbabwe
42,2,Tendai Chatara,4,0,22,2,5.50,13,1,1,2,0,Zimbabwe
43,3,Blessing Muzarabani,4,0,23,3,5.75,14,0,2,0,1,Zimbabwe
44,4,Luke Jongwe,2,0,24,0,12.00,1,4,0,0,0,Zimbabwe
45,5,Sean Williams,3,0,20,1,6.66,3,0,0,0,0,Zimbabwe
46,6,Sikandar Raza,3,0,22,1,7.33,8,1,1,1,0,Zimbabwe
47,1,Fred Klaassen,3,0,15,0,5.00,11,1,0,0,0,Netherlands
48,2,Tim Pringle,3,0,15,1,5.00,8,0,0,0,0,Netherlands
49,3,Bas de Leede,3,0,18,2,6.00,6,1,0,0,0,Netherlands
50,4,Colin Ackermann,3,0,17,1,5.66,8,2,0,0,0,Netherlands
